YEAR,SONG TITLE,TRACK NUMBER,File Name
1979,Don't Take Away the Music | Whenever I See Your Smiling Face,6,"Don't Take Away the Music, Whenever I See Your Smiling Face-1979.mp3"
1979,His Eye is on the Sparrow | Sweet Georgia Brown,7,"His Eye is on the Sparrow, Sweet Georgia Brown-1979.mp3"
1979,Embraceable You,8,Embraceable You-1979.mp3
1979,One Note Samba,9,One Note Samba-1979.mp3
1979,Too-ra-loo-ra-loo-ra!,10,Too-ra-loo-ra-loo-ra!-1979.mp3
1979,"Hallelujah, Baby",11,"Hallelujah, Baby-1979.mp3"
1979,God Bless America,12,God Bless America-1979.mp3
1980,Coming Soon,,
1981,This Could Be The Start of Something Big,1,This Could Be The Start of Something Big- 1981
1981,It's Easy to Say,2,It's Easy to Say -1981.mp3
1981,Tuxedo Junction,3,Tuxedo Junction -1981
1981,I Honestly Love You,4,I Honestly Love You -1981
1981,Ole Man River,5,Ole Man River -1981
1981,Moon Indigo,6,Moon Indigo -1981
1981,Ease on Down The Road,7,Ease on Down The Road -1981
1981,Celebration,8,Celebration -1981
1981,Look What You've Done to Me,9,Look What You've Done to Me -1981
1981,Torna A Surriento,10,Torna A Surriento -1981
1981,Faliin',11,Faliin' -1981
1981,A Tribute to Govennor Bowen: It's A Sin to Tell a Lie | Josephine | Harbor Lights | God Bless America,12,"A Tribute to Govennor Bowen It's A Sin to Tell a Lie,  Josephine, Harbor Lights, God Bless America -1981"
1982,Coming Soon,,
1983,Coming Soon,,
1984,Coming Soon,,
1985,Coming Soon,,
